Graph Name,Num of Nodes,Num of Edges,Num of Critical Nodes,Num of Critical Edges
Scalabrino26.java,22,68,11,19
Scalabrino71.java,28,81,5,6
Scalabrino174.java,10,32,5,4
Scalabrino88.java,16,44,8,11
Scalabrino30.java,14,37,7,9
Scalabrino47.java,9,29,2,1
Scalabrino10.java,19,61,9,13
Scalabrino115.java,7,13,3,2
Scalabrino103.java,7,13,4,4
Scalabrino51.java,15,48,7,7
Scalabrino138.java,26,77,13,15
Scalabrino85.java,15,28,5,4
Scalabrino93.java,22,55,11,14
Scalabrino102.java,11,28,5,6
Scalabrino143.java,3,9,3,3
Scalabrino46.java,22,65,11,21
Scalabrino31.java,24,72,12,19
Scalabrino134.java,29,79,5,6
Scalabrino66.java,20,53,10,13
Scalabrino70.java,11,25,5,5
Scalabrino175.java,31,77,7,8
Scalabrino122.java,19,53,8,9
Scalabrino27.java,25,75,11,20
Scalabrino159.java,6,14,5,4
Scalabrino118.java,24,51,12,19
Scalabrino105.java,3,12,3,3
Scalabrino57.java,18,48,9,15
Scalabrino94.java,16,41,8,11
Scalabrino82.java,32,96,13,13
Scalabrino20.java,23,43,11,10
Scalabrino172.java,28,66,9,13
Scalabrino61.java,27,78,12,13
Scalabrino37.java,9,23,4,5
Scalabrino60.java,13,30,6,8
Scalabrino99.java,23,63,11,18
Scalabrino21.java,9,15,4,3
Scalabrino124.java,8,19,4,4
Scalabrino108.java,37,132,18,33
Scalabrino83.java,31,105,13,13
Scalabrino186.java,12,30,6,7
Scalabrino190.java,12,38,6,9
Scalabrino95.java,5,11,5,7
Scalabrino128.java,6,11,5,7
Scalabrino56.java,31,98,15,32
Scalabrino104.java,6,20,5,7
Scalabrino112.java,12,35,6,7
Scalabrino17.java,31,69,15,27
Scalabrino145.java,12,30,6,6
Scalabrino185.java,6,10,5,7
Scalabrino80.java,25,70,8,11
Scalabrino193.java,7,18,3,2
Scalabrino107.java,24,62,12,15
Scalabrino14.java,17,67,6,9
Scalabrino131.java,28,82,14,20
Scalabrino189.java,23,59,10,15
Scalabrino166.java,13,37,6,9
Scalabrino63.java,2,2,2,1
Scalabrino75.java,27,65,7,11
Scalabrino59.java,12,33,6,5
Scalabrino18.java,24,45,12,18
Scalabrino19.java,10,17,5,4
Scalabrino58.java,29,78,14,26
Scalabrino23.java,3,5,3,3
Scalabrino171.java,7,18,3,2
Scalabrino188.java,30,85,15,30
Scalabrino62.java,14,31,7,7
Scalabrino130.java,31,90,15,29
Scalabrino147.java,13,40,6,7
Scalabrino110.java,21,48,10,13
Scalabrino106.java,23,70,11,22
Scalabrino9.java,13,38,6,7
Scalabrino78.java,30,78,11,13
Scalabrino199.java,2,2,2,1
Scalabrino176.java,25,50,12,19
Scalabrino2.java,22,73,11,17
Scalabrino24.java,7,19,5,9
Scalabrino121.java,27,114,9,14
Scalabrino86.java,12,22,6,5
Scalabrino183.java,13,35,6,7
Scalabrino195.java,16,51,5,7
Scalabrino90.java,22,67,11,22
Scalabrino156.java,3,5,3,3
Scalabrino101.java,10,18,5,4
Scalabrino117.java,41,90,20,30
Scalabrino12.java,12,26,6,6
Scalabrino44.java,17,47,5,6
Scalabrino116.java,14,39,7,8
Scalabrino13.java,14,45,7,11
Scalabrino100.java,12,32,6,6
Scalabrino52.java,8,21,4,3
Scalabrino29.java,11,30,5,7
Scalabrino87.java,21,57,10,11
Scalabrino182.java,6,15,5,7
Scalabrino3.java,24,67,12,11
Scalabrino120.java,14,40,4,3
Scalabrino72.java,31,89,15,29
Scalabrino64.java,7,16,4,4
Scalabrino161.java,19,51,9,12
Scalabrino136.java,22,60,9,16
Scalabrino33.java,13,42,6,6
