Graph Name,Num of Nodes,Num of Edges,Num of Critical Nodes,Num of Critical Edges
pair_1000_fast.js,11,20,5,5
pair_1000_slow.js,11,20,5,5
pair_10052_fast.js,14,26,7,7
pair_10052_slow.js,17,32,8,8
pair_10055_fast.js,12,22,6,8
pair_10055_slow.js,13,24,5,4
pair_10166_fast.js,9,16,4,3
pair_10166_slow.js,14,26,7,6
pair_10197_fast.js,25,48,12,15
pair_10197_slow.js,25,48,12,15
pair_1026_fast.js,11,20,5,4
pair_1026_slow.js,15,28,7,7
pair_1032_fast.js,7,12,3,2
pair_1032_slow.js,15,28,7,9
pair_1034_fast.js,17,32,8,7
pair_1034_slow.js,17,32,8,7
pair_10419_fast.js,16,30,8,7
pair_10419_slow.js,16,30,8,10
pair_10464_fast.js,12,22,6,7
pair_10464_slow.js,10,18,5,6
pair_10469_fast.js,17,32,8,8
pair_10469_slow.js,18,34,5,4
pair_10500_fast.js,13,24,6,6
pair_10500_slow.js,21,40,9,12
pair_10589_fast.js,13,24,6,5
pair_10589_slow.js,13,24,6,5
pair_10620_fast.js,19,36,7,6
pair_10620_slow.js,21,40,8,9
pair_10664_fast.js,11,20,5,5
pair_10664_slow.js,17,32,8,7
pair_10677_fast.js,20,38,10,15
pair_10677_slow.js,17,32,8,11
pair_1067_fast.js,15,28,7,7
pair_1067_slow.js,11,20,5,4
pair_10809_fast.js,15,28,7,8
pair_10809_slow.js,19,36,9,11
pair_10836_fast.js,13,24,6,8
pair_10836_slow.js,11,20,5,4
pair_10872_fast.js,24,46,12,16
pair_10872_slow.js,24,46,12,16
pair_10880_fast.js,5,8,5,6
pair_10880_slow.js,5,8,5,6
pair_10883_fast.js,14,26,7,7
pair_10883_slow.js,14,26,7,9
pair_10915_fast.js,10,18,5,4
pair_10915_slow.js,18,34,8,8
pair_10969_fast.js,7,12,3,2
pair_10969_slow.js,7,12,3,2
pair_11000_fast.js,16,30,8,8
pair_11000_slow.js,16,30,8,8
pair_11064_fast.js,13,24,6,7
pair_11064_slow.js,13,24,6,5
pair_11067_fast.js,21,40,9,8
pair_11067_slow.js,21,40,9,8
pair_11073_fast.js,16,30,8,9
pair_11073_slow.js,15,28,7,7
pair_11103_fast.js,8,14,4,3
pair_11103_slow.js,7,12,3,2
pair_11143_fast.js,8,14,4,3
pair_11143_slow.js,8,14,4,3
pair_1114_fast.js,22,42,11,12
pair_1114_slow.js,22,42,11,12
pair_11233_fast.js,15,28,7,7
pair_11233_slow.js,13,24,6,6
pair_11279_fast.js,12,22,6,6
pair_11279_slow.js,25,48,12,17
pair_11296_fast.js,10,18,5,4
pair_11296_slow.js,10,18,5,5
pair_11317_fast.js,21,40,10,12
pair_11317_slow.js,18,34,3,2
pair_11351_fast.js,21,40,5,4
pair_11351_slow.js,19,36,9,13
pair_11412_fast.js,31,60,15,20
pair_11412_slow.js,32,62,16,22
pair_11506_fast.js,20,38,10,11
pair_11506_slow.js,17,32,8,9
pair_11508_fast.js,21,40,9,8
pair_11508_slow.js,19,36,9,10
pair_11541_fast.js,9,16,4,3
pair_11541_slow.js,12,22,6,7
pair_11549_fast.js,14,26,7,8
pair_11549_slow.js,15,28,7,8
pair_11583_fast.js,5,8,5,6
pair_11583_slow.js,5,8,5,6
pair_11644_fast.js,4,6,4,4
pair_11644_slow.js,4,6,4,4
pair_11673_fast.js,5,8,5,6
pair_11673_slow.js,9,16,4,3
pair_11804_fast.js,17,32,8,8
pair_11804_slow.js,15,28,7,6
pair_11810_fast.js,13,24,6,7
pair_11810_slow.js,13,24,6,8
pair_11813_fast.js,13,24,6,6
pair_11813_slow.js,18,34,9,9
pair_11928_fast.js,19,36,9,8
pair_11928_slow.js,19,36,9,8
pair_1193_fast.js,18,34,9,10
pair_1193_slow.js,15,28,7,8
pair_12184_fast.js,14,26,6,5
pair_12184_slow.js,18,34,6,5
pair_12251_fast.js,17,32,8,7
pair_12251_slow.js,5,8,5,6
pair_12328_fast.js,15,28,7,6
pair_12328_slow.js,15,28,7,6
pair_12400_fast.js,12,22,6,5
pair_12400_slow.js,13,24,6,5
pair_12517_fast.js,21,40,10,11
pair_12517_slow.js,27,52,9,8
pair_12546_fast.js,20,38,10,11
pair_12546_slow.js,17,32,8,9
pair_12602_fast.js,7,12,3,2
pair_12602_slow.js,9,16,4,3
pair_12615_fast.js,13,24,6,5
pair_12615_slow.js,13,24,6,8
